id,node1,node2,node_size,link_strength,node_category,detail
296,235,243,3,0.8,4,"Person Id: 235; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: dining,art,music,shopping"
297,235,248,3,0.8,4,"Person Id: 235; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: dining,art,music,shopping"
298,237,250,2,0.6,4,"Person Id: 237; Gender: Female; Age: 34; Race: European/Caucasian-American; Field of Study: History/Religion/Philosophy; Career: Creative Arts/EntertainmentHobby: exercise,reading,yoga"
299,238,244,3,0.8,4,"Person Id: 238; Gender: Female; Age: 27; Race: European/Caucasian-American; Field of Study: Fine Arts/Arts Administration; Career: Creative Arts/EntertainmentHobby: museums,art,concerts,music"
300,238,250,3,0.8,4,"Person Id: 238; Gender: Female; Age: 27; Race: European/Caucasian-American; Field of Study: Fine Arts/Arts Administration; Career: Creative Arts/EntertainmentHobby: museums,art,concerts,music"
301,239,245,2,0.7,4,Person Id: 239; Gender: Female; Age: 34; Race: European/Caucasian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
302,240,250,2,0.7,2,"Person Id: 240; Gender: Female; Age: 26; Race: Asian/Pacific Islander/Asian-American; Field of Study: Business/Econ/Finance; Career: Creative Arts/EntertainmentHobby: sports,tvsports,dining,museums,gaming,reading,tv,theater,movies,concerts,music,shopping"
303,241,243,4,0.7,2,Person Id: 241; Gender: Female; Age: 29; Race: Asian/Pacific Islander/Asian-American; Field of Study: Business/Econ/Finance; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
304,241,248,4,0.7,2,Person Id: 241; Gender: Female; Age: 29; Race: Asian/Pacific Islander/Asian-American; Field of Study: Business/Econ/Finance; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
305,241,250,4,0.8,2,Person Id: 241; Gender: Female; Age: 29; Race: Asian/Pacific Islander/Asian-American; Field of Study: Business/Econ/Finance; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
306,242,243,6,0.8,5,"Person Id: 242; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: museums,art,reading,movies,concerts,music"
307,242,246,6,0.7,5,"Person Id: 242; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: museums,art,reading,movies,concerts,music"
308,242,248,6,0.8,5,"Person Id: 242; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: museums,art,reading,movies,concerts,music"
309,242,250,6,0.7,5,"Person Id: 242; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: museums,art,reading,movies,concerts,music"
310,242,251,6,0.8,5,"Person Id: 242; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: museums,art,reading,movies,concerts,music"
311,252,274,3,0.9,5,Person Id: 252; Gender: Female; Age: 28; Race: Latino/Hispanic American; Field of Study: Political Science/International Affairs; Career: Academic/ResearchHobby: NA
312,252,291,3,0.7,5,Person Id: 252; Gender: Female; Age: 28; Race: Latino/Hispanic American; Field of Study: Political Science/International Affairs; Career: Academic/ResearchHobby: NA
313,253,274,3,0.6,2,"Person Id: 253; Gender: Female; Age: 33; Race: Asian/Pacific Islander/Asian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: museums,art,reading,movies"
314,253,285,3,0.45,2,"Person Id: 253; Gender: Female; Age: 33; Race: Asian/Pacific Islander/Asian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: museums,art,reading,movies"
315,256,279,4,0.6,2,"Person Id: 256; Gender: Female; Age: 24; Race: Asian/Pacific Islander/Asian-American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
316,256,282,4,0.7,2,"Person Id: 256; Gender: Female; Age: 24; Race: Asian/Pacific Islander/Asian-American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
317,256,289,4,0.7,2,"Person Id: 256; Gender: Female; Age: 24; Race: Asian/Pacific Islander/Asian-American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
318,258,276,8,0.7,6,"Person Id: 258; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: hiking,reading"
319,258,277,8,0.8,6,"Person Id: 258; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: hiking,reading"
320,258,280,8,0.9,6,"Person Id: 258; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: hiking,reading"
321,258,282,8,0.8,6,"Person Id: 258; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: hiking,reading"
322,258,283,8,1,6,"Person Id: 258; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: hiking,reading"
323,258,284,8,0.8,6,"Person Id: 258; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: hiking,reading"
324,258,292,8,0.9,6,"Person Id: 258; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: hiking,reading"
325,259,277,2,0.9,4,Person Id: 259; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
326,260,276,7,0.9,2,Person Id: 260; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
327,260,277,7,0.8,2,Person Id: 260; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
328,260,280,7,0.7,2,Person Id: 260; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
329,260,282,7,1,2,Person Id: 260; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
330,260,285,7,0.6,2,Person Id: 260; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
331,260,291,7,0.6,2,Person Id: 260; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
332,261,275,6,0.6,2,Person Id: 261; Gender: Female; Age: 26; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
333,261,276,6,0.9,2,Person Id: 261; Gender: Female; Age: 26; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
334,261,277,6,0.7,2,Person Id: 261; Gender: Female; Age: 26; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
335,261,280,6,0.7,2,Person Id: 261; Gender: Female; Age: 26; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
336,261,291,6,0.6,2,Person Id: 261; Gender: Female; Age: 26; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
337,263,274,7,0.7,3,"Person Id: 263; Gender: Female; Age: 26; Race: Black/African American; Field of Study: Social Science, Psychologist; Career: UndecidedHobby: NA"
338,263,282,7,0.8,3,"Person Id: 263; Gender: Female; Age: 26; Race: Black/African American; Field of Study: Social Science, Psychologist; Career: UndecidedHobby: NA"
339,263,288,7,0.7,3,"Person Id: 263; Gender: Female; Age: 26; Race: Black/African American; Field of Study: Social Science, Psychologist; Career: UndecidedHobby: NA"
340,263,289,7,0.8,3,"Person Id: 263; Gender: Female; Age: 26; Race: Black/African American; Field of Study: Social Science, Psychologist; Career: UndecidedHobby: NA"
341,263,290,7,0.7,3,"Person Id: 263; Gender: Female; Age: 26; Race: Black/African American; Field of Study: Social Science, Psychologist; Career: UndecidedHobby: NA"
342,263,292,7,0.7,3,"Person Id: 263; Gender: Female; Age: 26; Race: Black/African American; Field of Study: Social Science, Psychologist; Career: UndecidedHobby: NA"
343,264,274,5,0.6,4,Person Id: 264; Gender: Female; Age: 26; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Academic/ResearchHobby: NA
344,264,279,5,0.6,4,Person Id: 264; Gender: Female; Age: 26; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Academic/ResearchHobby: NA
345,264,280,5,0.8,4,Person Id: 264; Gender: Female; Age: 26; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Academic/ResearchHobby: NA
346,264,282,5,0.7,4,Person Id: 264; Gender: Female; Age: 26; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Academic/ResearchHobby: NA
347,265,281,2,0.5,4,"Person Id: 265; Gender: Female; Age: 32; Race: European/Caucasian-American; Field of Study: Law; Career: Academic/ResearchHobby: reading,movies"
348,266,288,5,0.6,4,Person Id: 266; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: Languages; Career: UndecidedHobby: movies
349,266,289,5,0.8,4,Person Id: 266; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: Languages; Career: UndecidedHobby: movies
350,266,291,5,0.7,4,Person Id: 266; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: Languages; Career: UndecidedHobby: movies
351,266,292,5,0.7,4,Person Id: 266; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: Languages; Career: UndecidedHobby: movies
352,268,273,11,1,5,"Person Id: 268; Gender: Female; Age: 24; Race: Latino/Hispanic American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
353,268,274,11,0.9,5,"Person Id: 268; Gender: Female; Age: 24; Race: Latino/Hispanic American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
354,268,276,11,0.8,5,"Person Id: 268; Gender: Female; Age: 24; Race: Latino/Hispanic American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
355,268,277,11,0.8,5,"Person Id: 268; Gender: Female; Age: 24; Race: Latino/Hispanic American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
356,268,279,11,0.8,5,"Person Id: 268; Gender: Female; Age: 24; Race: Latino/Hispanic American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
357,268,288,11,0.6,5,"Person Id: 268; Gender: Female; Age: 24; Race: Latino/Hispanic American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
358,268,289,11,0.8,5,"Person Id: 268; Gender: Female; Age: 24; Race: Latino/Hispanic American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
359,268,290,11,0.8,5,"Person Id: 268; Gender: Female; Age: 24; Race: Latino/Hispanic American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
360,268,292,11,0.7,5,"Person Id: 268; Gender: Female; Age: 24; Race: Latino/Hispanic American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
361,268,293,11,0.8,5,"Person Id: 268; Gender: Female; Age: 24; Race: Latino/Hispanic American; Field of Study: Medical Science, Pharmaceuticals, and Bio Tech; Career: Doctor/MedicineHobby: NA"
362,269,274,7,0.8,4,"Person Id: 269; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: History/Religion/Philosophy; Career: Academic/ResearchHobby: art,reading"
363,269,279,7,0.6,4,"Person Id: 269; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: History/Religion/Philosophy; Career: Academic/ResearchHobby: art,reading"
364,269,283,7,0.6,4,"Person Id: 269; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: History/Religion/Philosophy; Career: Academic/ResearchHobby: art,reading"
365,269,288,7,0.6,4,"Person Id: 269; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: History/Religion/Philosophy; Career: Academic/ResearchHobby: art,reading"
366,269,289,7,0.9,4,"Person Id: 269; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: History/Religion/Philosophy; Career: Academic/ResearchHobby: art,reading"
367,269,291,7,0.7,4,"Person Id: 269; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: History/Religion/Philosophy; Career: Academic/ResearchHobby: art,reading"
368,270,276,6,0.7,2,Person Id: 270; Gender: Female; Age: 23; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
369,270,279,6,0.5,2,Person Id: 270; Gender: Female; Age: 23; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
370,270,280,6,0.8,2,Person Id: 270; Gender: Female; Age: 23; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
371,270,281,6,0.8,2,Person Id: 270; Gender: Female; Age: 23; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
372,270,282,6,0.8,2,Person Id: 270; Gender: Female; Age: 23; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: NA
373,271,282,3,0.8,4,"Person Id: 271; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Social Work; Career: Social WorkHobby: exercise,museums,art"
374,271,293,3,0.7,4,"Person Id: 271; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Social Work; Career: Social WorkHobby: exercise,museums,art"
375,294,316,2,0.7,2,"Person Id: 294; Gender: Female; Age: 30; Race: Asian/Pacific Islander/Asian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: museums,art,reading,theater"
376,296,316,4,0.6,4,"Person Id: 296; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: music"
377,296,317,4,0.7,4,"Person Id: 296; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: music"
378,296,319,4,0.8,4,"Person Id: 296; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: music"
379,297,308,5,0.9,4,"Person Id: 297; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: museums,art,reading,theater,movies"
380,297,310,5,0.8,4,"Person Id: 297; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: museums,art,reading,theater,movies"
381,297,316,5,0.6,4,"Person Id: 297; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: museums,art,reading,theater,movies"
382,297,319,5,0.9,4,"Person Id: 297; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: museums,art,reading,theater,movies"
383,299,316,2,0.7,2,Person Id: 299; Gender: Female; Age: 24; Race: Asian/Pacific Islander/Asian-American; Field of Study: Social Work; Career: Academic/ResearchHobby: NA
384,300,316,3,0.6,4,"Person Id: 300; Gender: Female; Age: 35; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: museums,art,theater,music"
385,300,319,3,0.7,4,"Person Id: 300; Gender: Female; Age: 35; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: museums,art,theater,music"
386,301,309,3,0.8,4,"Person Id: 301; Gender: Female; Age: 34; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: dining,movies"
387,301,311,3,0.6,4,"Person Id: 301; Gender: Female; Age: 34; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: dining,movies"
388,303,313,2,0.9,4,"Person Id: 303; Gender: Female; Age: 33; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: reading"
389,304,317,2,0.8,4,"Person Id: 304; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Speech PathologyHobby: sports"
390,305,309,3,0.8,2,"Person Id: 305; Gender: Female; Age: 29; Race: Asian/Pacific Islander/Asian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: dining"
391,305,315,3,0.7,2,"Person Id: 305; Gender: Female; Age: 29; Race: Asian/Pacific Islander/Asian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: dining"
392,306,315,2,0.7,2,"Person Id: 306; Gender: Female; Age: 22; Race: Asian/Pacific Islander/Asian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: NA"
393,307,312,4,0.7,2,"Person Id: 307; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: sports,exercise,hiking,reading,theater,movies,music"
394,307,316,4,0.6,2,"Person Id: 307; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: sports,exercise,hiking,reading,theater,movies,music"
395,307,317,4,0.7,2,"Person Id: 307; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: sports,exercise,hiking,reading,theater,movies,music"
396,322,337,3,0.8,2,"Person Id: 322; Gender: Female; Age: 34; Race: Asian/Pacific Islander/Asian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: NA"
397,322,339,3,0.8,2,"Person Id: 322; Gender: Female; Age: 34; Race: Asian/Pacific Islander/Asian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: NA"
398,323,332,4,0.8,2,Person Id: 323; Gender: Female; Age: 25; Race: Asian/Pacific Islander/Asian-American; Field of Study: Engineering; Career: Academic/ResearchHobby: NA
399,323,333,4,0.8,2,Person Id: 323; Gender: Female; Age: 25; Race: Asian/Pacific Islander/Asian-American; Field of Study: Engineering; Career: Academic/ResearchHobby: NA
400,323,339,4,0.8,2,Person Id: 323; Gender: Female; Age: 25; Race: Asian/Pacific Islander/Asian-American; Field of Study: Engineering; Career: Academic/ResearchHobby: NA
401,324,332,5,1,4,"Person Id: 324; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: dining,theater,concerts,music"
402,324,335,5,0.7,4,"Person Id: 324; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: dining,theater,concerts,music"
403,324,336,5,0.7,4,"Person Id: 324; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: dining,theater,concerts,music"
404,324,340,5,0.8,4,"Person Id: 324; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: dining,theater,concerts,music"
405,325,337,4,0.9,5,"Person Id: 325; Gender: Female; Age: 30; Race: Latino/Hispanic American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: NA"
406,325,338,4,0.6,5,"Person Id: 325; Gender: Female; Age: 30; Race: Latino/Hispanic American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: NA"
407,325,339,4,0.8,5,"Person Id: 325; Gender: Female; Age: 30; Race: Latino/Hispanic American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: NA"
408,326,337,3,0.6,3,"Person Id: 326; Gender: Female; Age: 36; Race: Black/African American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: theater,concerts,music,shopping"
409,326,338,3,0.7,3,"Person Id: 326; Gender: Female; Age: 36; Race: Black/African American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: theater,concerts,music,shopping"
410,328,339,2,0.8,4,"Person Id: 328; Gender: Female; Age: 30; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: exercise,dining,museums,art,hiking,reading,theater,movies,concerts,music,yoga"
411,330,333,2,0.9,2,Person Id: 330; Gender: Female; Age: 22; Race: Asian/Pacific Islander/Asian-American; Field of Study: Engineering; Career: UndecidedHobby: NA
412,341,366,4,0.9,2,"Person Id: 341; Gender: Female; Age: 23; Race: Asian/Pacific Islander/Asian-American; Field of Study: Political Science/International Affairs; Career: UndecidedHobby: dining,reading,tv,theater,movies,concerts,music,yoga"
413,341,368,4,0.7,2,"Person Id: 341; Gender: Female; Age: 23; Race: Asian/Pacific Islander/Asian-American; Field of Study: Political Science/International Affairs; Career: UndecidedHobby: dining,reading,tv,theater,movies,concerts,music,yoga"
414,341,371,4,0.8,2,"Person Id: 341; Gender: Female; Age: 23; Race: Asian/Pacific Islander/Asian-American; Field of Study: Political Science/International Affairs; Career: UndecidedHobby: dining,reading,tv,theater,movies,concerts,music,yoga"
415,342,367,2,0.8,5,"Person Id: 342; Gender: Female; Age: 33; Race: Latino/Hispanic American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: dining,art,tv,movies,shopping"
416,343,361,3,1,4,"Person Id: 343; Gender: Female; Age: 32; Race: European/Caucasian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Doctor/MedicineHobby: dining,museums,art"
417,343,362,3,0.7,4,"Person Id: 343; Gender: Female; Age: 32; Race: European/Caucasian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Doctor/MedicineHobby: dining,museums,art"
418,344,364,5,0.8,5,Person Id: 344; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: NA
419,344,366,5,0.8,5,Person Id: 344; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: NA
420,344,369,5,0.8,5,Person Id: 344; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: NA
421,344,377,5,0.7,5,Person Id: 344; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: NA
422,345,364,5,0.7,4,Person Id: 345; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Doctor/MedicineHobby: exercise
423,345,366,5,0.7,4,Person Id: 345; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Doctor/MedicineHobby: exercise
424,345,368,5,0.7,4,Person Id: 345; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Doctor/MedicineHobby: exercise
425,345,369,5,0.9,4,Person Id: 345; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Doctor/MedicineHobby: exercise
426,346,366,7,0.9,1,Person Id: 346; Gender: Female; Age: Unknown; Race: Unknown; Field of Study: Unknown; Career: UnknownHobby: NA
427,346,367,7,0.8,1,Person Id: 346; Gender: Female; Age: Unknown; Race: Unknown; Field of Study: Unknown; Career: UnknownHobby: NA
428,346,370,7,0.9,1,Person Id: 346; Gender: Female; Age: Unknown; Race: Unknown; Field of Study: Unknown; Career: UnknownHobby: NA
429,346,372,7,0.9,1,Person Id: 346; Gender: Female; Age: Unknown; Race: Unknown; Field of Study: Unknown; Career: UnknownHobby: NA
430,346,373,7,0.9,1,Person Id: 346; Gender: Female; Age: Unknown; Race: Unknown; Field of Study: Unknown; Career: UnknownHobby: NA
431,346,378,7,0.8,1,Person Id: 346; Gender: Female; Age: Unknown; Race: Unknown; Field of Study: Unknown; Career: UnknownHobby: NA
432,348,363,2,0.7,2,"Person Id: 348; Gender: Female; Age: 21; Race: Asian/Pacific Islander/Asian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: dining,museums,art,reading,theater,shopping"
433,349,362,9,0.8,4,"Person Id: 349; Gender: Female; Age: 33; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: exercise"
434,349,366,9,0.9,4,"Person Id: 349; Gender: Female; Age: 33; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: exercise"
435,349,367,9,0.8,4,"Person Id: 349; Gender: Female; Age: 33; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: exercise"
436,349,368,9,0.65,4,"Person Id: 349; Gender: Female; Age: 33; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: exercise"
437,349,371,9,0.7,4,"Person Id: 349; Gender: Female; Age: 33; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: exercise"
438,349,372,9,0.9,4,"Person Id: 349; Gender: Female; Age: 33; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: exercise"
439,349,373,9,1,4,"Person Id: 349; Gender: Female; Age: 33; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: exercise"
440,349,375,9,0.7,4,"Person Id: 349; Gender: Female; Age: 33; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: exercise"
441,350,366,4,0.8,4,Person Id: 350; Gender: Female; Age: 31; Race: European/Caucasian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Doctor/MedicineHobby: exercise
442,350,368,4,0.65,4,Person Id: 350; Gender: Female; Age: 31; Race: European/Caucasian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Doctor/MedicineHobby: exercise
443,350,373,4,1,4,Person Id: 350; Gender: Female; Age: 31; Race: European/Caucasian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Doctor/MedicineHobby: exercise
444,351,362,6,0.7,2,"Person Id: 351; Gender: Female; Age: 35; Race: Asian/Pacific Islander/Asian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: dining,museums,art,reading,theater,movies,concerts,music"
445,351,364,6,0.9,2,"Person Id: 351; Gender: Female; Age: 35; Race: Asian/Pacific Islander/Asian-American; Field of Study: Education, Academia; Career: Academic/ResearchHobby: dining,museums,art,reading,theater,movies,concerts,music"
